HBA;HBD;HBA:HBD;T(K);Tc(K);Pc(bar);?;Density (kg/m3);LSSVR;ARD%;AARD%
Acetyl choline chloride;D-Mannose;"1;1";293.15;846.26;23.489;1.4097;1275.0;1265.407448;0.75;
Acetyl choline chloride;D-Mannose;"1;1";298.15;846.26;23.489;1.4097;1272.0;1263.413533;0.68;
Acetyl choline chloride;D-Mannose;"1;1";303.15;846.26;23.489;1.4097;1269.0;1260.781978;0.65;
Acetyl choline chloride;D-Mannose;"1;1";308.15;846.26;23.489;1.4097;1266.0;1257.770236;0.65;
Acetyl choline chloride;D-Mannose;"1;1";313.15;846.26;23.489;1.4097;1262.0;1254.606046;0.59;
Acetyl choline chloride;D-Mannose;"1;1";318.15;846.26;23.489;1.4097;1259.0;1251.46325;0.60;
Acetyl choline chloride;D-Mannose;"1;1";323.15;846.26;23.489;1.4097;1256.0;1248.44593;0.60;
Acetyl choline chloride;D-Mannose;"1;1";328.15;846.26;23.489;1.4097;1253.0;1245.58286;0.59;
Acetyl choline chloride;D-Mannose;"1;1";333.15;846.26;23.489;1.4097;1250.0;1242.832667;0.57;
Acetyl choline chloride;D-Mannose;"1;1";338.15;846.26;23.489;1.4097;1247.0;1240.098477;0.55;
Acetyl choline chloride;D-Mannose;"1;1";343.15;846.26;23.489;1.4097;1244.0;1237.249443;0.54;
Acetyl choline chloride;D-Mannose;"1;1";348.15;846.26;23.489;1.4097;1241.0;1234.14562;0.55;
Acetyl choline chloride;D-Mannose;"1;1";353.15;846.26;23.489;1.4097;1238.0;1230.662394;0.59;
Acetyl choline chloride;D-Ribose;"1;1";293.15;790.74;25.834;1.2391;1258.0;1255.278602;0.22;
Acetyl choline chloride;D-Ribose;"1;1";298.15;790.74;25.834;1.2391;1255.0;1254.11182;0.07;
Acetyl choline chloride;D-Ribose;"1;1";303.15;790.74;25.834;1.2391;1252.0;1252.008742;0.00;
Acetyl choline chloride;D-Ribose;"1;1";308.15;790.74;25.834;1.2391;1249.0;1249.145137;0.01;
Acetyl choline chloride;D-Ribose;"1;1";313.15;790.74;25.834;1.2391;1245.0;1245.720251;0.06;
Acetyl choline chloride;D-Ribose;"1;1";318.15;790.74;25.834;1.2391;1242.0;1241.94171;0.00;
Acetyl choline chloride;D-Ribose;"1;1";323.15;790.74;25.834;1.2391;1239.0;1238.010407;0.08;
Acetyl choline chloride;D-Ribose;"1;1";328.15;790.74;25.834;1.2391;1235.0;1234.106569;0.07;
Acetyl choline chloride;D-Ribose;"1;1";333.15;790.74;25.834;1.2391;1232.0;1230.378096;0.13;
Acetyl choline chloride;D-Ribose;"1;1";338.15;790.74;25.834;1.2391;1229.0;1226.93201;0.17;
Acetyl choline chloride;D-Ribose;"1;1";343.15;790.74;25.834;1.2391;1226.0;1223.82963;0.18;
Acetyl choline chloride;D-Ribose;"1;1";348.15;790.74;25.834;1.2391;1223.0;1221.085761;0.16;
Acetyl choline chloride;D-Ribose;"1;1";353.15;790.74;25.834;1.2391;1219.0;1218.671879;0.03;
Acetyl choline chloride;D-Xylose;"1;1";293.15;782.87;27.631;1.2284;1257.0;1257.001894;0.00;
Acetyl choline chloride;D-Xylose;"1;1";298.15;782.87;27.631;1.2284;1254.0;1255.59815;0.13;
Acetyl choline chloride;D-Xylose;"1;1";303.15;782.87;27.631;1.2284;1251.0;1253.261832;0.18;
Acetyl choline chloride;D-Xylose;"1;1";308.15;782.87;27.631;1.2284;1248.0;1250.199204;0.18;
Acetyl choline chloride;D-Xylose;"1;1";313.15;782.87;27.631;1.2284;1245.0;1246.644878;0.13;
Acetyl choline chloride;D-Xylose;"1;1";318.15;782.87;27.631;1.2284;1241.0;1242.844201;0.15;
Acetyl choline chloride;D-Xylose;"1;1";323.15;782.87;27.631;1.2284;1238.0;1239.034671;0.08;
Acetyl choline chloride;D-Xylose;"1;1";328.15;782.87;27.631;1.2284;1235.0;1235.427922;0.03;
Acetyl choline chloride;D-Xylose;"1;1";333.15;782.87;27.631;1.2284;1232.0;1232.193769;0.02;
Acetyl choline chloride;D-Xylose;"1;1";338.15;782.87;27.631;1.2284;1229.0;1229.447777;0.04;
Acetyl choline chloride;D-Xylose;"1;1";343.15;782.87;27.631;1.2284;1226.0;1227.243541;0.10;
Acetyl choline chloride;D-Xylose;"1;1";348.15;782.87;27.631;1.2284;1223.0;1225.570511;0.21;
Acetyl choline chloride;D-Xylose;"1;1";353.15;782.87;27.631;1.2284;1220.0;1224.357688;0.36;
Acetyl choline chloride;Guaiacol;"1;3";293.15;714.77;40.291;0.5138;1149.6;1146.52401;0.27;
Acetyl choline chloride;Guaiacol;"1;3";303.15;714.77;40.291;0.5138;1146.1;1140.925753;0.45;
Acetyl choline chloride;Guaiacol;"1;3";313.15;714.77;40.291;0.5138;1139.8;1135.200228;0.40;
Acetyl choline chloride;Guaiacol;"1;3";323.15;714.77;40.291;0.5138;1133.8;1131.392541;0.21;
Acetyl choline chloride;Guaiacol;"1;4";293.15;716.52;41.858;0.5089;1149.3;1152.990848;0.32;
Acetyl choline chloride;Guaiacol;"1;4";303.15;716.52;41.858;0.5089;1144.8;1145.787276;0.09;
Acetyl choline chloride;Guaiacol;"1;4";313.15;716.52;41.858;0.5089;1138.1;1139.643743;0.14;
Acetyl choline chloride;Guaiacol;"1;4";323.15;716.52;41.858;0.5089;1131.7;1137.168437;0.48;
Acetyl choline chloride;Guaiacol;"1;5";293.15;717.76;42.959;0.5056;1152.7;1155.04345;0.20;
Acetyl choline chloride;Guaiacol;"1;5";303.15;717.76;42.959;0.5056;1148.1;1146.779915;0.11;
Acetyl choline chloride;Guaiacol;"1;5";313.15;717.76;42.959;0.5056;1142.5;1139.715835;0.24;
Acetyl choline chloride;Guaiacol;"1;5";323.15;717.76;42.959;0.5056;1135.1;1136.66156;0.14;
Acetyl choline chloride;Imidazole;"1;1.5";303.15;646.03;40.667;0.4497;1125.6;1112.309546;1.18;
Acetyl choline chloride;Imidazole;"1;1.5";313.15;646.03;40.667;0.4497;1120.0;1115.707604;0.38;
Acetyl choline chloride;Imidazole;"1;1.5";323.15;646.03;40.667;0.4497;1115.4;1115.705731;0.03;
Acetyl choline chloride;Imidazole;"1;1.5";333.15;646.03;40.667;0.4497;1109.2;1112.194238;0.27;
Acetyl choline chloride;Imidazole;"1;1.5";343.15;646.03;40.667;0.4497;1105.2;1106.36343;0.11;
Acetyl choline chloride;Imidazole;"1;1.5";353.15;646.03;40.667;0.4497;1100.0;1100.177356;0.02;
Acetyl choline chloride;Imidazole;"1;1.5";363.15;646.03;40.667;0.4497;1095.5;1095.638953;0.01;
Acetyl choline chloride;Imidazole;"1;2";303.15;641.14;43.550;0.4345;1120.6;1120.99658;0.04;
Acetyl choline chloride;Imidazole;"1;2";313.15;641.14;43.550;0.4345;1114.1;1115.550655;0.13;
Acetyl choline chloride;Imidazole;"1;2";323.15;641.14;43.550;0.4345;1109.2;1109.313879;0.01;
Acetyl choline chloride;Imidazole;"1;2";333.15;641.14;43.550;0.4345;1102.6;1102.835405;0.02;
Acetyl choline chloride;Imidazole;"1;2";343.15;641.14;43.550;0.4345;1098.7;1096.967026;0.16;
Acetyl choline chloride;Imidazole;"1;2";353.15;641.14;43.550;0.4345;1093.5;1092.658694;0.08;
Acetyl choline chloride;Imidazole;"1;2";363.15;641.14;43.550;0.4345;1089.5;1090.727699;0.11;
Acetyl choline chloride;Imidazole;"1;3";303.15;635.41;47.708;0.4154;1155.7;1154.71771;0.08;
Acetyl choline chloride;Imidazole;"1;3";313.15;635.41;47.708;0.4154;1151.7;1150.459376;0.11;
Acetyl choline chloride;Imidazole;"1;3";323.15;635.41;47.708;0.4154;1145.6;1145.980261;0.03;
Acetyl choline chloride;Imidazole;"1;3";333.15;635.41;47.708;0.4154;1142.1;1141.470464;0.06;
Acetyl choline chloride;Imidazole;"1;3";343.15;635.41;47.708;0.4154;1138.4;1137.041172;0.12;
Acetyl choline chloride;Imidazole;"1;3";353.15;635.41;47.708;0.4154;1132.6;1132.858742;0.02;
Acetyl choline chloride;Imidazole;"1;3";363.15;635.41;47.708;0.4154;1128.5;1129.258563;0.07;
Acetyl choline chloride;Levulinic acid;"1;1";293.15;718.54;31.228;0.6509;1144.4;1144.589029;0.02;
Acetyl choline chloride;Levulinic acid;"1;1";298.15;718.54;31.228;0.6509;1140.6;1141.100479;0.04;
Acetyl choline chloride;Levulinic acid;"1;1";303.15;718.54;31.228;0.6509;1136.9;1137.364729;0.04;
Acetyl choline chloride;Levulinic acid;"1;1";308.15;718.54;31.228;0.6509;1133.0;1133.440425;0.04;
Acetyl choline chloride;Levulinic acid;"1;1";313.15;718.54;31.228;0.6509;1129.4;1129.398801;0.00;
Acetyl choline chloride;Levulinic acid;"1;1";318.15;718.54;31.228;0.6509;1125.6;1125.324711;0.02;
Acetyl choline chloride;Levulinic acid;"1;1";323.15;718.54;31.228;0.6509;1121.8;1121.316844;0.04;
Acetyl choline chloride;Levulinic acid;"1;1";328.15;718.54;31.228;0.6509;1117.9;1117.486505;0.04;
Acetyl choline chloride;Levulinic acid;"1;1";333.15;718.54;31.228;0.6509;1114.4;1113.954468;0.04;
Acetyl choline chloride;Levulinic acid;"1;1";338.15;718.54;31.228;0.6509;1110.7;1110.845713;0.01;
Acetyl choline chloride;Levulinic acid;"1;1";343.15;718.54;31.228;0.6509;1106.9;1108.282215;0.12;
Acetyl choline chloride;Levulinic acid;"1;3";303.15;731.12;35.600;0.6828;1136.9;1136.843395;0.00;
Acetyl choline chloride;Levulinic acid;"1;3";313.15;731.12;35.600;0.6828;1129.4;1130.281022;0.08;
Acetyl choline chloride;Levulinic acid;"1;3";323.15;731.12;35.600;0.6828;1121.8;1122.003696;0.02;
Acetyl choline chloride;Levulinic acid;"1;3";333.15;731.12;35.600;0.6828;1114.4;1113.079002;0.12;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";293.15;756.24;30.004;0.9700;1201.1;1199.180074;0.16;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";298.15;756.24;30.004;0.9700;1197.5;1196.701257;0.07;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";303.15;756.24;30.004;0.9700;1193.8;1193.621141;0.01;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";308.15;756.24;30.004;0.9700;1190.1;1190.050832;0.00;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";313.15;756.24;30.004;0.9700;1186.4;1186.118821;0.02;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";318.15;756.24;30.004;0.9700;1182.7;1181.964771;0.06;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";323.15;756.24;30.004;0.9700;1179.0;1177.732967;0.11;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";328.15;756.24;30.004;0.9700;1175.4;1173.565604;0.16;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";333.15;756.24;30.004;0.9700;1171.7;1169.596153;0.18;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";338.15;756.24;30.004;0.9700;1167.9;1165.94302;0.17;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;4";343.15;756.24;30.004;0.9700;1164.2;1162.703852;0.13;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";293.15;709.60;32.969;1.0068;1159.9;1157.772766;0.18;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";298.15;709.60;32.969;1.0068;1156.3;1155.241118;0.09;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";303.15;709.60;32.969;1.0068;1152.6;1152.25604;0.03;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";308.15;709.60;32.969;1.0068;1149.0;1148.850574;0.01;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";313.15;709.60;32.969;1.0068;1145.3;1145.090123;0.02;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";318.15;709.60;32.969;1.0068;1141.7;1141.074617;0.05;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";323.15;709.60;32.969;1.0068;1138.0;1136.937114;0.09;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";328.15;709.60;32.969;1.0068;1134.4;1132.838276;0.14;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";333.15;709.60;32.969;1.0068;1130.7;1128.956793;0.15;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";338.15;709.60;32.969;1.0068;1127.0;1125.476444;0.14;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;10";343.15;709.60;32.969;1.0068;1123.3;1122.57111;0.06;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";293.15;696.23;34.033;1.0176;1146.3;1146.495102;0.02;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";298.15;696.23;34.033;1.0176;1142.7;1143.433861;0.06;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";303.15;696.23;34.033;1.0176;1139.1;1139.997883;0.08;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";308.15;696.23;34.033;1.0176;1135.5;1136.247075;0.07;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";313.15;696.23;34.033;1.0176;1131.9;1132.272903;0.03;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";318.15;696.23;34.033;1.0176;1128.2;1128.197461;0.00;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";323.15;696.23;34.033;1.0176;1124.6;1124.169058;0.04;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";328.15;696.23;34.033;1.0176;1121.0;1120.354253;0.06;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";333.15;696.23;34.033;1.0176;1117.3;1116.92683;0.03;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";338.15;696.23;34.033;1.0176;1113.6;1114.054669;0.04;
Allyl triphenylphosphonium bromide;Diethylene glycol;"1;16";343.15;696.23;34.033;1.0176;1109.9;1111.885909;0.18;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";293.15;817.24;25.162;1.0247;1190.8;1190.269581;0.04;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";298.15;817.24;25.162;1.0247;1187.1;1187.79289;0.06;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";303.15;817.24;25.162;1.0247;1183.4;1184.698983;0.11;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";308.15;817.24;25.162;1.0247;1179.7;1181.111294;0.12;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";313.15;817.24;25.162;1.0247;1176.1;1177.177244;0.09;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";318.15;817.24;25.162;1.0247;1172.4;1173.058777;0.06;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";323.15;817.24;25.162;1.0247;1168.7;1168.922002;0.02;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";328.15;817.24;25.162;1.0247;1165.0;1164.926796;0.01;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";333.15;817.24;25.162;1.0247;1161.3;1161.217202;0.01;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";338.15;817.24;25.162;1.0247;1157.6;1157.913351;0.03;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;4";343.15;817.24;25.162;1.0247;1153.9;1155.105475;0.10;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";293.15;776.85;26.338;1.0689;1159.2;1155.942839;0.28;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";298.15;776.85;26.338;1.0689;1155.5;1153.138782;0.20;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";303.15;776.85;26.338;1.0689;1151.7;1149.888176;0.16;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";308.15;776.85;26.338;1.0689;1148.0;1146.234618;0.15;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";313.15;776.85;26.338;1.0689;1144.2;1142.254638;0.17;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";318.15;776.85;26.338;1.0689;1140.5;1138.059788;0.21;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";323.15;776.85;26.338;1.0689;1136.7;1133.795075;0.26;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";328.15;776.85;26.338;1.0689;1133.0;1129.633099;0.30;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";333.15;776.85;26.338;1.0689;1129.2;1125.763847;0.30;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";338.15;776.85;26.338;1.0689;1125.5;1122.38084;0.28;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;10";343.15;776.85;26.338;1.0689;1121.7;1119.664987;0.18;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";293.15;765.16;26.734;1.0819;1146.2;1149.666741;0.30;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";298.15;765.16;26.734;1.0819;1142.5;1145.910375;0.30;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";303.15;765.16;26.734;1.0819;1138.8;1141.872768;0.27;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";308.15;765.16;26.734;1.0819;1135.0;1137.662149;0.23;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";313.15;765.16;26.734;1.0819;1131.3;1133.412129;0.19;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";318.15;765.16;26.734;1.0819;1127.5;1129.278714;0.16;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";323.15;765.16;26.734;1.0819;1123.7;1125.434261;0.15;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";328.15;765.16;26.734;1.0819;1119.9;1122.058248;0.19;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";333.15;765.16;26.734;1.0819;1116.1;1119.325197;0.29;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";338.15;765.16;26.734;1.0819;1112.2;1117.390747;0.47;
Allyl triphenylphosphonium bromide;Triethylene glycol;"1;16";343.15;765.16;26.734;1.0819;1108.4;1116.377325;0.72;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";293.15;644.10;33.781;0.9375;1063.6;1059.596116;0.38;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";298.15;644.10;33.781;0.9375;1060.6;1056.396028;0.40;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";303.15;644.10;33.781;0.9375;1057.5;1053.102608;0.42;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";308.15;644.10;33.781;0.9375;1054.4;1049.726584;0.44;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";313.15;644.10;33.781;0.9375;1051.4;1046.337941;0.48;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";318.15;644.10;33.781;0.9375;1048.3;1043.063957;0.50;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";323.15;644.10;33.781;0.9375;1045.2;1040.079411;0.49;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";328.15;644.10;33.781;0.9375;1042.1;1037.590159;0.43;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";333.15;644.10;33.781;0.9375;1039.0;1035.81225;0.31;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";338.15;644.10;33.781;0.9375;1036.0;1034.949313;0.10;
Benzyl tripropyl ammonium Chloride;Ethylene Glycol;"1;3";343.15;644.10;33.781;0.9375;1032.9;1035.171123;0.22;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";293.15;735.27;27.577;1.2862;1133.0;1147.361687;1.27;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";298.15;735.27;27.577;1.2862;1130.0;1142.005461;1.06;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";303.15;735.27;27.577;1.2862;1126.9;1136.849894;0.88;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";308.15;735.27;27.577;1.2862;1123.8;1132.07383;0.74;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";313.15;735.27;27.577;1.2862;1120.6;1127.832314;0.65;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";318.15;735.27;27.577;1.2862;1117.5;1124.251741;0.60;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";323.15;735.27;27.577;1.2862;1114.5;1121.427841;0.62;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";328.15;735.27;27.577;1.2862;1111.4;1119.425801;0.72;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";333.15;735.27;27.577;1.2862;1108.3;1118.281545;0.90;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";338.15;735.27;27.577;1.2862;1105.2;1118.003293;1.16;
Benzyl tripropyl ammonium Chloride;Glycerol;"1;3";343.15;735.27;27.577;1.2862;1102.2;1118.572776;1.49;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";293.15;721.27;33.151;0.9166;1120.6;1125.905274;0.47;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";298.15;721.27;33.151;0.9166;1117.1;1121.241741;0.37;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";303.15;721.27;33.151;0.9166;1113.5;1116.523876;0.27;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";308.15;721.27;33.151;0.9166;1109.9;1111.883886;0.18;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";313.15;721.27;33.151;0.9166;1106.4;1107.472734;0.10;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";318.15;721.27;33.151;0.9166;1102.7;1103.455132;0.07;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";323.15;721.27;33.151;0.9166;1099.2;1100.001829;0.07;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";328.15;721.27;33.151;0.9166;1095.7;1097.279368;0.14;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";333.15;721.27;33.151;0.9166;1092.1;1095.437984;0.31;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";338.15;721.27;33.151;0.9166;1088.5;1094.598765;0.56;
Benzyl tripropyl ammonium Chloride;Lactic Acid;"1;3";343.15;721.27;33.151;0.9166;1085.0;1094.841552;0.91;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";293.15;774.01;27.293;0.8586;1263.0;1257.617365;0.43;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";298.15;774.01;27.293;0.8586;1259.0;1257.185133;0.14;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";303.15;774.01;27.293;0.8586;1255.0;1255.690588;0.06;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";308.15;774.01;27.293;0.8586;1252.0;1253.296925;0.10;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";313.15;774.01;27.293;0.8586;1248.0;1250.193442;0.18;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";318.15;774.01;27.293;0.8586;1245.0;1246.577002;0.13;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";323.15;774.01;27.293;0.8586;1241.0;1242.634183;0.13;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";328.15;774.01;27.293;0.8586;1238.0;1238.526202;0.04;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";333.15;774.01;27.293;0.8586;1234.0;1234.378256;0.03;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";338.15;774.01;27.293;0.8586;1231.0;1230.274209;0.06;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";343.15;774.01;27.293;0.8586;1228.0;1226.256826;0.14;
Benzyl tripropyl ammonium Chloride;Oxalic acid;"1;1";348.15;774.01;27.293;0.8586;1224.0;1222.332952;0.14;
